highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,name_norm
Gary Helming Memorial Highway,41,6,"ACR 74, CH 120, 2022",Avenal Cr 45-36 (Postmile 3.753),JCT ST 33 (Postmile 8.098),True,True,True,gary helming memorial highway
Sergeant Ronald “Ron” Lee Helus Memorial Highway,101,7,"ACR 17, CH 120, 2019",Hampshire Road UC# 52-273 (PM 1.622),Lynn Road OC# 52-325 (PM 5.046),True,True,True,sergeant ronald ron lee helus memorial highway
Sam Helwer Memorial Freeway,101,1,"ACR 54, CH 114, 1994",Myers Flat,Stafford,True,True,True,sam helwer memorial freeway
Senator Henry J. Mello Highway,1,5,"ACR 67, CH 141, 2014",STRUVE ROAD N - PM 98.350,PAJARO RIVER BRIDGE# 44-69 - AVG BEG PM R101.980,True,True,True,senator henry j mello highway
Deputy Kent Hintergardt Memorial Highway,15,8,"ACR 33, CH 89, 2009",Route 215 Interchange,"South 79 Exit, Route 79",True,True,True,deputy kent hintergardt memorial highway
Crynthia and Erling Hjertager Memorial Highway,3,2,"ACR 108, CH 84, 2006",Callahan,City of Etna,True,True,True,crynthia and erling hjertager memorial highway
CHP Officer A. Donald Hoover Memorial Highway,1,5,"ACR 100, CH 109, 2012",Park Avenue UC#36-29 - PM 12.088,Branciforte Avenue OC#36-104 - PM16.241,True,True,True,chp officer a donald hoover memorial highway
Deputy Sheriff Jack Hopkins Memorial Highway ,395,2,"ACR 29, CH 130, 2017",South Fork Pit River Bridge # 3-52 (PM R16.523),Modoc National Wildlife Refuge (PM R20.000),True,True,True,deputy sheriff jack hopkins memorial highway
PFC George Howell Memorial Highway,101,5,"ACR 202, CH 170,  2022",Sala Road OC# 44-0283 (PM 92.190),Prunedale South Road OC# 44-0284 (PM 94.071),True,True,True,pfc george howell memorial highway
CHP Officer Artie J. Hubbard Memorial Freeway,5,3,"SCR 12, CH 73, 2005",Southern Boundary of the City of Sacramento,Pocket Road,True,True,True,chp officer artie j hubbard memorial freeway
"Kern County Deputy Sheriff William ""Joe"" Hudnall, Jr., Memorial Highway",178,6,"ACR 90, CH 71, 2008",Post Mile 13.7 at the mouth of Kern Canyon,Kernville Road/Route 155,True,False,True,kern county deputy sheriff william joe hudnall jr memorial highway
Leo Stanley Hulett Highway,101,1,"SCR 61, CH 21, 1990",0.5 miles south of Haehl overhead,0.5 miles north of Reynolds Highway,False,True,True,leo stanley hulett highway
Ben Hulse Highway,78,"11, 8","AB 2499, CH 1387, 1961, changed by SCR 70, CH 121, 2004","Route 111, east of Brawley",I-10 near Blythe,False,True,True,ben hulse highway
Solano County Deputy Sheriff Hale Humphrey Memorial Highway,12,4,"ACR 177, CH 135, 2016",Pennsylvania Avenue (PM R4.072) ,Marina Boulevard (PM 5.150),True,False,True,solano county deputy sheriff hale humphrey memorial highway
Los Angeles County Sheriff’s Deputy Didier M. Hurdle Memorial Highway,105,7,"ACR 214, CH 170 2018",Junction of Interstate 110 (PM R7.386),Long Beach Blvd UC# 53-2493 (PM R11.506),True,False,True,los angeles county sheriffs deputy didier m hurdle memorial highway
Officer Richard Hyche Memorial Freeway,10,8,"SCR 95, CH 93, 2006",Euclid Avenue,6th Street overcrossing,True,True,True,officer richard hyche memorial freeway
George Alan Ingalls Memorial Highway,198,6,"ACR 47, CH 60, 2001",Twelfth Avenue,Seventh Avenue,True,True,True,george alan ingalls memorial highway
Officer Jimmy Arty Inn Memorial Highway,4,10,"ACR 195, CH 164, 2022",N JCT RTE 5 (PM R16.059),JCT 99 (PM R19.407),True,True,True,officer jimmy arty inn memorial highway
CHP Officers Irvine and Stovall Memorial Highway,166,5,"SCR 79, CH 65, 1998",Route 101 near Santa Maria,Route 33 in the Cuyama Valley,True,True,True,chp officers irvine and stovall memorial highway
Deputy Sheriff Brian “Ish” Ishmael Memorial Highway,50,3,"SCR 89, CH 34, 2020","Missouri
Flat Road OC# 25-121 (Postmile R15.061)",Ray Lawyer Drive OC# 25-117 (Postmile 16.523),True,True,True,deputy sheriff brian ish ishmael memorial highway
“CAL FIRE Firefighter Cory Iverson Memorial Highway”,15,11,"ACR 205, CH 152 2018",Via Rancho Parkway OC# 57-623 (PM M26.970),Junction with State Route 78 (PM R31.517),True,True,True,cal fire firefighter cory iverson memorial highway
"Sheriff’s Deputies Ronald Wayne Ives and Daniel Jess Lobo, Jr., Memorial Highway",15,8,"ACR 123, CH 119, 2016",Junction with Route 210 (PM 8.094),Sierra Avenue UC# 54-981 (PM 12.871),True,False,True,sheriffs deputies ronald wayne ives and daniel jess lobo jr memorial highway
Robert M. Jackson Memorial Highway,89,10,"SCR 57, CH 27, 2006",Alpine/Mono County Line,Route 4,True,True,True,robert m jackson memorial highway
CHP Officer Paul C. Jarske Memorial Highway,101,1,"ACR 76, CH 114, 2011",Branscomb Road - PM 69.490,PM 74.490,True,True,True,chp officer paul c jarske memorial highway
United States Army Private First Class Conrado D. Javier Memorial Highway,218,5,"SCR 57, CH 21 2018",Junction of 1/218 (PM R0.000),Junction of 68/218 (PM 1.956),True,False,True,united states army private first class conrado d javier memorial highway
Lance Corporal Javier Olvera Memorial Highway,14,7,"SCR 60, CH 6, 2014",JCT 14/138 SEP 53-1419RT - PM R59.783,WEST AVE O-8 UC# 53-2379LT - PM R62.129,True,True,True,lance corporal javier olvera memorial highway
Senator Jenny Oropeza Memorial Freeway,710,7,"SCR 115, CH 130, 2014",PICO AVENUE NB ONRAMP OH# 53-2785S - PM 5.820,JCT RTE 1/710 SEP# 53-725 - PM 6.881,True,True,True,senator jenny oropeza memorial freeway
Joe Gatto Memorial Highway,10,7,"ACR 173, CH 184, 2014",JCT RTE 5/10 SEP# 53-1329 - PM 18.394,JCT RTE 710/10 SEP# 55-1445 - PM 21.382,True,True,True,joe gatto memorial highway
CDF Firefighter John D. Guthrie Memorial Highway,215,8,"ACR 107, CH 80, 2008 & ACR 162, CH 160, 2014","N JCT 74, BR# 56-458 - PM 26.308",NB ON FROM RAMONA EXPWY - PM R31.075,True,True,True,cdf firefighter john d guthrie memorial highway
John Steinbeck Highway,101,5,"ACR 67, CH 141, 2014",JCT ROUTE 68 WEST/JOHN STREET PM - 86.815,ESPINOZA ROAD/RUSSELL ROAD PM - R91.900,False,True,True,john steinbeck highway
San Jose Police Officer Michael Johnson Memorial Highway,87,4,"ACR 88, CH 186, 2015",JCT ROUTE 87/85 APPROX - PM 0.156,JCT ROUTE 87/ 280 - PM5.156,True,False,True,san jose police officer michael johnson memorial highway
Paul Johnson Highway,55,12,"ACR 179, CH 160, 2010",Katella Avenue,Chapman Avenue,False,True,True,paul johnson highway
Robert Scott Johnson Memorial Highway,1,5,"ACR 47, CH 135, 2021",Exit 404 - SB OFF to Fremont Blvd/Del Monte Blvd (PM R80.970),Exit 406 - SB OFF to Lightfighter Drive (PM R82.759),True,True,True,robert scott johnson memorial highway
"Harold  T. ""Bizz"" Johnson Expressway",65,3,"ACR 92, CH 88, 1986",I-80,Blue Oaks Boulevard,False,True,True,harold t bizz johnson expressway
Ray E. Johnson Expressway,99,3,"ACR 74, CH 113, 1993",Pentz Road overcrossing at Post Mile 23.863,"Edgar Slough, Bridge No. 12-0128, PM 30.040",False,True,True,ray e johnson expressway
El Monte Police Officer Donald Ralph Johnston Memorial Highway,10,7,"ACR 71, CH 115, 2003",Route 164 (signed as Route 19) in the City of Rosemead - PM26.857,I-605 in the City of Baldwin Park - PM 31.151,True,False,True,el monte police officer donald ralph johnston memorial highway
Ohlone Kallentaruk Highway,129,5,"ACR 100, CH 101, 2012",Blackburn Street - PM 0.540,Murphy Crossing Road - PM 4.742,False,True,True,ohlone kallentaruk highway
CDF Firefighter Chris Kanton Memorial Highway,10,8,"ACR 10, CH 64, 2007",Beaumont Avenue/Route 79 exit,Sunset Avenue exit,True,True,True,cdf firefighter chris kanton memorial highway
Officer and Medal of Valor Recipient Waldron G. Karp Memorial Highway,5,12,"ACR 149, CH 144, 2018",Northbound Tustin Ranch Road (PM 28.224),Southbound Tustin Ranch Road (PM R28.456),True,False,True,officer and medal of valor recipient waldron g karp memorial highway
Michael “Mike” Jason Katherman Memorial Highway,85,4,"ACR 173, CH 160, 2022",JCT 87/85 (PM 5.222),Almaden Expwy UC#37-530 (PM 6.136),True,True,True,michael mike jason katherman memorial highway
Senator David G. Kelley Highway,86,8,"ACR 106, CH 108, 2000",82nd Avenue,66th Avenue,True,True,True,senator david g kelley highway
Officer Justin Kepler Memorial Highway,120,10,"ACR 119, CH 38, 2020",Sexton Road (Postmile 14.830),Brennan Avenue (Postmile 15.860),True,True,True,officer justin kepler memorial highway
Kern County Korean War Veterans Memorial Highway,58,6,"ACR 209, CH 194, 2004",Route 184,Kern County/San Bernardino County Line,True,False,True,kern county korean war veterans memorial highway
Kern County Korean War Veterans Memorial Highway,99,6,"ACR 46, CH 54, 2001","I-5, 3.5 miles south of Mettler",Northern Kern County Line at County Line Road (J44) in Delano,True,False,True,kern county korean war veterans memorial highway
Officer Kevin Tonn Memorial Highway,99,3,"SCR 74, CH 74, 2014",WITH IN THE CITY OF GALT FROM (PM 0.000),WITH IN THE CITY OF GALT TO (PM 2.050),True,True,True,officer kevin tonn memorial highway
"Martin Luther King, Jr. Freeway",94,11,"SCR 67, CH 129, 1989",I-5 in the City of San Diego,Route 125,False,True,True,martin luther king jr freeway
John T. Knox Freeway ,580,4,"SCR 50, CH 78, 1980","I-80, the Albany Interchange",Richmond-San Rafael Bridge,False,True,True,john t knox freeway
Deran Koligian Memorial Highway,180,6,"SCR 94, CH 158, 2002","Route 33 (and, upon completion, from Route 5)",Route 99,True,True,True,deran koligian memorial highway
Quentin L. Kopp Freeway,380,4,"SCR 99, CH 145, 1998",Route 1 near Pacifica,Route 101 near South San Francisco,False,True,True,quentin l kopp freeway
Korean War Veterans Memorial Highway ,37,4,"SCR 28, CH 64, 2021",Atherton Avenue UC# 27-79 (PM 13.773),Junction of 37/121 (PM 3.900),True,False,True,korean war veterans memorial highway
Korean War Veterans' Memorial Highway,126,7,"SCR 41, CH 131, 1994 & ACR 135, CH 89, 2002",Route 101 near Ventura,I-5 near Santa Clarita,True,False,True,korean war veterans memorial highway
Costa Mesa Fire Captain Michael Kreza Memorial Highway,55,12,"SCR 21, CH 139, 2019",19th Street (Postmile 2.021),MacArthur Blvd UC# 55-410 (Postmile R6.969),True,False,True,costa mesa fire captain michael kreza memorial highway
Milton La Malfa Memorial Highway,99,3,"ACR 71, CH 107, 2009",Oroville Dam Boulevard West PM 13.161,Nelson Avenue PM 15.170,True,True,True,milton la malfa memorial highway
Officer David Lamoree Memorial Highway,12,4,"ACR 7, CH 121, 2007",Olsen Road,Route 113,True,True,True,officer david lamoree memorial highway
William H. Lancaster Memorial Highway,210,"7, 8","ACR 2, CH 76, 2003",City of Duarte,I-15 exit,True,True,True,william h lancaster memorial highway
Lieutenant Jared M. Landaker Memorial Highway,38,8,"ACR 59, CH 115, 2007",Post Mile 49.530/Route 18,Post Mile 59.396/Route 18,True,True,True,lieutenant jared m landaker memorial highway
Detectives Mike Lane and John Pierce Memorial Highway,72,7,"ACR 62, CH 139, 2013",COSTA GLEN AVENUE - PM 0.601,PENN STREET - PM 4.856,True,True,True,detectives mike lane and john pierce memorial highway
Frank Lanterman Freeway ,2,7,"ACR 131, CH 126, 1978",Route 134 in Glendale,I-210 in La Canada Flintridge,False,True,True,frank lanterman freeway
"Staff Sergeant Salvador J. Lara, Staff Sergeant Ysmael R. Villegas, and Sergeant Jesus S. Duran Memorial Highway",91,8,"SCR 38, CH 111, 2015",MADISON SREET UC#56-384L/R - PM 16.651,THIRD STREET UC#53-316 - PM 20.845,True,False,True,staff sergeant salvador j lara staff sergeant ysmael r villegas and sergeant jesus s duran memorial highway
Tommy Lasorda Memorial Highway ,5,12,"ACR 67, CH 115, 2021",Ball Road OC# 55-670 (PM 37.638),Eastbound Exit State 91 (PM 42.671),True,True,True,tommy lasorda memorial highway
Glendale Police Officer Charles A. Lazzaretto Memorial Freeway,134,7,"ACR 67, CH 97, 1999",I-5,Route 2,True,True,True,glendale police officer charles a lazzaretto memorial freeway
CAL FIRE Firefighter Christopher Lee Douglas Memorial Highway,10,8,"SCR 22, CH 107, 2015",22ND STREET UC#56-430 - PM R11.962,MALKI/FIELDS ROAD UC#56-454 - PM R16.544,True,True,True,cal fire firefighter christopher lee douglas memorial highway
Army Specialist Roger Lee Memorial Highway,68,5,"ACR 203, CH 166, 2022",Morse Drive (PM 2.260),Skyline Forest Drive (PM 3.370),True,True,True,army specialist roger lee memorial highway
Deputy Bruce Lee Memorial Highway,111,8,"SCR 5, CH 15, 2005",Jefferson Street,Washington Street,True,True,True,deputy bruce lee memorial highway
"Sergeant Darrell Keith Lee, Sergeant Gary Wayne Wolfley, and Officer Sergio Carrera Jr. Memorial Highway",10,8,"ACR 100, CH 109, 2012",Cedar Avenue OC# 54-35 - PM R18.492,Pepper Avenue OC# 54-531 - PM 20.965,True,False,True,sergeant darrell keith lee sergeant gary wayne wolfley and officer sergio carrera jr memorial highway
"William ""Bill"" Lehn Memorial Highway",99,6,"ACR 30, CH 82, 2003",Mountain View Avenue overcrossing,San Joaquin River an the Fresno/Madera County Line,True,True,True,william bill lehn memorial highway
"Willliam Alexander Leidesdorff, Jr. Memorial Highway",50,3,"ACR 131, CH 41, 2004",Bradshaw Road,Sacramento/El Dorado County Line,True,True,True,willliam alexander leidesdorff jr memorial highway
Police Officer Tyler “Ty” Lenehan Memorial Highway,99,3,"ACR 194, CH 169, 2022",Grant Line Road OC# 24-155 (PM 10.070),Sheldon Road OC# 24-374 (PM 14.869),True,True,True,police officer tyler ty lenehan memorial highway
Marine Corporal Christopher D. Leon Memorial Highway,14,7,"SCR 5, CH 70, 2009",Avenue M,Avenue L,True,True,True,marine corporal christopher d leon memorial highway
Joe Levy Memorial Highway,41,6,"SCR 45, CH1, 2016",Bullard Avenue OC# 42-303 (PM R29.463),Herdon Avenue UC# 42-305 (PM R30.447),True,True,True,joe levy memorial highway
E.G. Lewis Highway,41,5,"ACR 76, CH 47, 1994",Route 1,Route 101,False,True,True,e g lewis highway
Willard F. Libby Memorial Highway,116,4,"ACR 149, CH 128, 1984",Forestville,Sebastopol,True,True,True,willard f libby memorial highway
Donald Mark Lichliter Memorial Highway,12,10,"ACR 100, CH 109, 2012","JCT 99, North BR# 29-140 - PM 18.080",POSTMILE MARKER - 23.080,True,True,True,donald mark lichliter memorial highway
James Lick Memorial Freeway,101,4,"ACR 37, CH 122, 1951",San Mateo/San Francisco County Line,I-80,True,True,True,james lick memorial freeway
CHP Sergeant Steven L. Licon Memorial Highway,15,8,"ACR 107, CH 36, 2020",Junction with Route 74 at (PM 22.277),Lake Street UC# 56-682 (PM 26.688),True,True,True,chp sergeant steven l licon memorial highway
CHP Officer Charles Lilly Memorial Highway,101,4,"SCR 100, CH 109, 2012",JCT 87/101 SEP 37-183 PM 39.925,Fair Oaks Avenue OC 37-168 PM 44.831,True,True,True,chp officer charles lilly memorial highway
Steven Lindblom Memorial Freeway,99,6,"ACR 35, CH 83, 2003",Southern city limits of Madera ,Madera/Merced County Line,True,True,True,steven lindblom memorial freeway
R. Kirk Lindsey Memorial Highway,108,10,"SCR 54, CH 79, 2010",Five Points,City of Riverbank,True,True,True,r kirk lindsey memorial highway
"CHP Officer Stephen M. Linen, Jr. Memorial Freeway",5,11,"SCR 24, CH 127, 2003",Leucadia Boulevard,La Costa Avenue,True,True,True,chp officer stephen m linen jr memorial freeway
Ort J. Lofthus Freeway,4,10,"ACR 95, CH 51, 1986",I-5,Route 99,False,True,True,ort j lofthus freeway
Los Angeles County Vietnam Veterans Memorial Highway,1,7,"ACR 115, CH 94, 2000",,,True,False,True,los angeles county vietnam veterans memorial highway
"Colonel William R. ""Bill"" Lucius Highway",101,4,"SCR 73, CH 15, 1990",Russian River south of Healdsburg,Mendocino County Line,True,True,True,colonel william r bill lucius highway
Senator Paul J. Lunardi Memorial Highway,267,3,"SCR 23, CH 141, 2015",PM 4.898,END OF ROUTE 267 - PM 9.898,True,True,True,senator paul j lunardi memorial highway
Police Sergeant Scott Lunger Memorial Highway ,4,4,"ACR 49, CH 133, 2017",Laurel Road OC #28-390 (PM R31.368),Balfour Road (PM R35.598),True,True,True,police sergeant scott lunger memorial highway
CHP Officer Christopher D. Lydon Memorial Freeway,67,11,"ACR 53, CH 88, 1999",I-8 in El Cajon,Mapleview Street in Lakeside,True,True,True,chp officer christopher d lydon memorial freeway
Detective Jeremiah MacKay Memorial Highway,38,8,"ACR 68, CH 142, 2013",PM 24.000,PM 29.000,True,True,True,detective jeremiah mackay memorial highway
Kenneth L. Maddy Freeway,99,10,"SCR 25, CH 85, 1997",0.3 mile south of Dwight Way,0.1 mile south of August Avenue,False,True,True,kenneth l maddy freeway
Alex Madonna Memorial Highway,101,5,"ACR 97, CH 83, 2006",Madonna Road exit in San Luis Obispo,Santa Barbara Road in Atascadero,True,True,True,alex madonna memorial highway
"Officer Sixto Maldonado, Jr., Memorial Highway",33,6,"ACR 128, CH 75, 2008",Bullard Avenue,Douglas Avenue,True,True,True,officer sixto maldonado jr memorial highway
CalFire Firefighter Andrew Maloney Memorial Highway ,165,10,"ACR 47, CH 132, 2017",Pioneer Road (PM 7.782),Berkeley Drive (PM 8.140),True,True,True,calfire firefighter andrew maloney memorial highway
CHP Officer David W. Manning Memorial Freeway,178,6,"SCR 50, CH 117, 2004",M Street,Fairfax Road,True,True,True,chp officer david w manning memorial freeway
CHP Officer Erick S. Manny Memorial Highway,5,6,"ACR 58, CH 114, 2007",Fort Tejon exit (Exit 210),Grapevine exit (Exit 215),True,True,True,chp officer erick s manny memorial highway
Captain Matthew Patrick Manoukian Memorial Highway,280,4,"ACR 151, CH 132, 2022","JCT 85/280 
(PM 10.741)",NB OFF TO El Monte Road (PM 14.844),True,True,True,captain matthew patrick manoukian memorial highway
Specialist Manuel Joaquin Holguin Memorial Highway,245,6,"ACR 135, CH 85, 2014",Avenue 364 - PM 9.970,Avenue 398 - PM 14.970,True,True,True,specialist manuel joaquin holguin memorial highway
Marin County Veterans Memorial Freeway,101,4,"ACR 5, CH 49, 1999",Lucas Valley Road in San Rafael,Two miles north of Lucas Valley Road,True,False,True,marin county veterans memorial freeway
CHP Officer Johnny R. Martinez Memorial Highway,10,7,"ACR 159, CH 104, 2010",eastbound milepost marker 22.31,westbound milepost marker 22.33,True,True,True,chp officer johnny r martinez memorial highway
CHP Officer Saul Martinez Memorial Highway,86,8,"SCR 100, CH 109, 2012",5 MILES SOUTH FROM JCT RTE 10 PM R18.000,"JCT 10, RT LANES PM R23.000",True,True,True,chp officer saul martinez memorial highway
Officer Robert Joe Mata and Officer Roberto C. Sanchez Memorial Highway,110,7,"ACR 12, CH 151, 2015",EXIT 1A / BEG OF RTE 110 - PM 0.744,EXIT 1B / NB OFF TO CHANNEL AND PACIFIC - PM 1.390,True,False,True,officer robert joe mata and officer roberto c sanchez memorial highway
Martin A. Matich Highway,210,8,"ACR 156, CH 156, 2006",I-215 at Post Mile 21.84,I-10 at Post Mile 33.0,False,True,True,martin a matich highway
Donna P. Mauzy Memorial Freeway,8,11,"ACR 93, CH 127, 2001",Route 67,Greenfield Drive,True,True,True,donna p mauzy memorial freeway
Doctor June McCarroll Memorial Freeway,10,8,"SCR 58, CH 105, 2000",Jefferson Street and Indio Boulevard Interchange,Route 86,True,True,True,doctor june mccarroll memorial freeway
California Highway Patrol Officer Justin W. McGrory Memorial Highway,15,8,"ACR 37, CH 49, 2011",Wild Wash RD OC #54-565 - PM 55.957,Hodge RD OC 54-566 - PM 60.159,True,False,True,california highway patrol officer justin w mcgrory memorial highway
"John McVeigh, Jr. Memorial Highway",198,5,"ACR 119, CH 147, 1994",Route 101,Monterey/Fresno County Line,True,True,True,john mcveigh jr memorial highway
Christopher Meadows Memorial Highway,101,5,"ACR 100, CH 109, 2012",NB off to SAN LUIS BAY DR - PM R22.150,NB off to MADONNA RD - PM 27.400,True,True,True,christopher meadows memorial highway
Medal of Honor Memorial Highway,215,8,"ACR 230, CH 156 2018",Barton Road Overcrossing OC # 54-528 (Postmile 1.312),Orange Show Road Overcrossing OC # 54-473 (Postmile 5.025),True,False,True,medal of honor memorial highway
Jerry Medina Memorial Highway,99,10,"ACR 168, CH 140, 2002",Tuolumne Boulevard,Standiford Avenue/Beckwith Road,True,True,True,jerry medina memorial highway
Jere Melo Memorial Highway,1,1,"ACR 100, CH 109, 2012",Chestnut Street - PM 60.925,Elm Street - PM 61.993,True,True,True,jere melo memorial highway
Betty Meltzer Memorial Highway,82,4,"SCR 30, CH 74, 2009",Page Mill Road (PM 24.04),San Francisquito Creek (SCL/SM County Line 26.37),True,True,True,betty meltzer memorial highway
Joel Mendenhall Memorial Highway,76,11,"ACR 4, CH 113, 2015",PM 42.790,E PALOMAR RD LT T - PM 47.790,True,True,True,joel mendenhall memorial highway
Deputy Sheriff Merrit W. Deeds Memorial Highway,116,4,"ACR 159, CH 177, 2014",JCT RTE 1 - PM 0.000,PM 5.000,True,True,True,deputy sheriff merrit w deeds memorial highway
Officer Michael Crain Memorial Highway,91,8,"ACR 134, CH 84, 2014",La Sierra Avenue OC 56-425 - PM 11.991,Madison Street UC 56-384 - PM 16.651,True,True,True,officer michael crain memorial highway
Military Intelligence Service Memorial Highway,23,7,"ACR 62, CH 115, 1994",Route 101,Route 118,True,False,True,military intelligence service memorial highway
Military Servicewomen's Memorial Highway,101,4,"ACR 171, CH 154, 1998",San Mateo/Santa Clara County Line,Ralston Avenue exit in Belmont,True,False,True,military servicewomens memorial highway
"Officer Russell M. Miller, Sr. Memorial Highway",60,7,"SCR 83, CH 122, 2010",Mountain Avenue,Ramona Avenue,True,True,True,officer russell m miller sr memorial highway
CHP Officer John P. Miller Memorial Highway,580,4,"ACR 78, CH 110, 2009","Airway Boulevard, Post Mile 14.98","North Flynn Road, Post Mile 6.00",True,True,True,chp officer john p miller memorial highway
Fortuna Police Officer Raymond Quincy Mills Memorial Highway,101,1,"SCR 98, CH 107, 2022",Kenmar Road UC# 4-128 (PM 59.503),Palmer Blvd UC# 4-112 (PM 62.229),True,True,True,fortuna police officer raymond quincy mills memorial highway
Norman Y. Mineta Highway,85,4,"ACR 25, CH 66, 2007",Route 101 in San Jose to Quito Road,Prospect Road to Route 101 in Mountain View,False,True,True,norman y mineta highway
Sergeant 1st Class Sean K. Mitchell Memorial Highway,1,5,"ACR 204, CH 167, 2022",Postmile R75.500,Iris Canyon Road UC END BR 44-0192 LT (PM R76.500),True,False,True,sergeant 1st class sean k mitchell memorial highway
Officer David F. Mobilio Memorial Highway,5,2,"SCR 78, CH 88, 2012",Riverside Ave OC# 8-113 - PM R23.384,North Red Bluff OC# 8-98 - PM R28.377,True,True,True,officer david f mobilio memorial highway
Frank F. Momyer Bypass,108,10,"ACR 112, CH 97, 1986",Route 120,Route 49,False,True,True,frank f momyer bypass
Robert T. Monagan Freeway,205,"4, 10","ACR 75, CH 128, 1985",I-580,I-5,False,True,True,robert t monagan freeway
Officer John Paul Monego Memorial Freeway,680,4,"SCR 60, CH 114, 2000",I-580,Alcosta Boulevard,True,True,True,officer john paul monego memorial freeway
John J. Montgomery Freeway,5,11,"ACR 16, CH 83, 1949",Mexico International Border at Tijuana,Route 94 in San Diego,False,True,True,john j montgomery freeway
Archie Moore Memorial Freeway,15,11,"ACR 90, CH 141, 1999",Ocean View Boulevard exit,Home Avenue exit,True,True,True,archie moore memorial freeway
"CHP Officer Andre Maurice Moye, Jr. Memorial Freeway",215,8,"SCR 7, CH 80, 2021",Eucalyptus Avenue OC# 56-757 (PM R37.436),Junction State Route 60/215 SEP# 56-507R (PM R38.339),True,True,True,chp officer andre maurice moye jr memorial freeway
CHP Officer Daniel J. Muehlhausen Memorial Highway,62,8,"ACR 29, CH 90, 2003",5.4 miles west of junction with Route 177,4.6 miles east of junction with Route 177,True,True,True,chp officer daniel j muehlhausen memorial highway
Willard H. Murray Freeway,91,7,"ACR 78, CH 135, 1997",Central Avenue,Alameda Street,False,True,True,willard h murray freeway
National Purple Heart Trail,"5, 80","11, 12, 7, 6, 10, 3, 2 & 4, 3","SCR 14, CH 79, 2001",Mexico International Border (Tijuana) and San Francisco,Oregon State Line (Henley) and Nevada State Line,True,False,True,national purple heart trail
National Purple Heart Trail,45,3,"ACR 191, CH 163, 2016",Beg of Colusa County (PM 0.000),End of Colusa County (PM 34.176),True,False,True,national purple heart trail
National Purple Heart Trail,20,3,"ACR 191, CH 163, 2016",Beg of Colusa County (PM 0.000),End of Colusa County (PM R39.340),True,False,True,national purple heart trail
National Purple Heart Trail,5,3,"ACR 191, CH 163, 2016",Beg of Colusa County (PM  R0.000),End of Colusa County (PM R34.365),True,False,True,national purple heart trail
National Purple Heart Trail,16,3,"ACR 191, CH 163, 2016",Beg of Colusa County (PM 0.000),End of Colusa County (PM 7.256),True,False,True,national purple heart trail
CHP Officer Sean Nava Memorial Freeway,5,11,"SCR 24, CH 127, 2003",Tamarack Avenue,Route 78,True,True,True,chp officer sean nava memorial freeway
Lieutenant Colonel Seth “Jethro” Nehring Memorial Highway,168,6,"ACR 164, CH 136, 2022",Lodge Road (PM L27.368),Qualls Prather Road (PM L28.250),True,True,True,lieutenant colonel seth jethro nehring memorial highway
CHP Officer Dale E. Newby Memorial Highway,5,10,"SCR 89, CH 155, 2002",French Camp Road,Eight Mile Road,True,True,True,chp officer dale e newby memorial highway
CHP Officer Archie E. Nichols Memorial Highway,99,2,"SCR 105, CH 117 2018",9th Avenue (Postmile 16.266) ,61st Avenue (Postmile 16.700),True,True,True,chp officer archie e nichols memorial highway
Nels Dan Niemi Memorial Highway,880,4,"SCR 41, CH 91, 2007",Washington Avenue,Marina Boulevard,True,True,True,nels dan niemi memorial highway
Robert and Pat Nimmo Memorial Highway,41,5,"ACR 122, CH 94, 2008",El Camino Real,Creston Road,True,True,True,robert and pat nimmo memorial highway
First Lady Pat Nixon Memorial Highway,91,7,"SCR 68, CH 103, 2022","Pioneer Blvd UC# 53-
1335 (PM R18.087)",Carmenita Rd OC# 53-1432 (PM R20.454),True,True,True,first lady pat nixon memorial highway
Richard “Dick” Noles Memorial Highway,168,9,"ACR 115, CH 118, 2016",4090 West Line Street = Approx. Red Hill Road (PM 15.075),North junction with State Route 395 (PM 18.310),True,True,True,richard dick noles memorial highway
"Colonel Young Oak Kim, United States Army, Memorial Highway",5,12,"ACR 188, CH 122, 2018",Eastbound exit State Route 91 exit (Postmile 42.671),The boundary with the Los Angeles County (Postmile 44.382),True,False,True,colonel young oak kim united states army memorial highway
President Barack H. Obama Highway,134,7,"SCR 8, CH 147, 2017",State Highway Route 2 (PM R8.963),Junction of Interstate 210 (PM R13.341),True,True,True,president barack h obama highway
Chiura Obata Great Nature Memorial Highway,120,9,"ACR 112, CH 37, 2020",(PM R0.000),(PM 5.000),True,True,True,chiura obata great nature memorial highway
Caltrans Highway Maintenance Leadworker Jaime Obeso Memorial Highway,8,11,"SCR 52, CH 94, 2011",Postmile Marker 11-IMP-008-R30.925,Postmile Marker 11-IMP-008-R31.425,True,False,True,caltrans highway maintenance leadworker jaime obeso memorial highway
Jack O'Connell Highway,46,5,"ACR 78, CH 135, 1997",Route 101 in Paso Robles,Roue 41 at Cholame,False,True,True,jack oconnell highway
Ramon Ojeda Memorial Highway,78,11,"ACR 47, CH 100, 2006",Route 67,Third Street,True,True,True,ramon ojeda memorial highway
CHP Officer Hugo Olazar Memorial Highway,280,4,"SCR 36, CH 127, 1999",San Jose/Sickles Avenue onramp,San Jose Avenue overcrossing,True,True,True,chp officer hugo olazar memorial highway
